P_DISCHARGE_CSN,T_DISCHARGE_CSN,VOLUMETRIC_FLOW_STANDARD_CSN,VOLUMETRIC_FLOW_ACTUAL_CSN,timestamp,P_SUCTION_CSN1,T_SUCTION_CSN1,VOLUMETRIC_FLOW_STANDARD_CSN1,VOLUMETRIC_FLOW_ACTUAL_CSN1,Example
PSIG,DEGF,MMSCFD,ACFM,,PSIG,DEGF,MMSCFD,ACFM,
1253.891,133.1,1363.7582,13709.472,10/23/2021 5:10,980.4474,80.5,1377.1029,12778.706,1
1246.2063,131.4,1308.3954,13111.906,10/23/2021 5:20,980.4961,80.4,1389.1355,12883.013,1
1248.1031,131.8,1352.6495,13557.778,10/23/2021 5:30,980.8365,80.5,1382.9785,12829.691,1
1251.0701,132.7,1379.9287,13844.413,10/23/2021 5:40,980.5934,80.5,1381.0624,12806.269,1
1252.5292,132.8,1376.2533,13810.787,10/23/2021 5:50,980.5934,80.5,1387.8994,12872.968,1
1252.1401,132.7,1370.3986,13752.739,10/23/2021 6:00,980.5934,80.4,1371.1504,12723.2295,1
1251.4105,132.6,1345.212,13493.73,10/23/2021 6:10,980.3502,80.4,1384.0679,12845.219,1
1250.3405,132.4,1360.7424,13653.632,10/23/2021 6:20,980.0097,80.4,1380.6238,12808.309,1
1250.2917,132.4,1358.9984,13627.313,10/23/2021 6:30,980.0097,80.4,1379.6063,12797.46,1
1250.4863,132.3,1356.893,13608.601,10/23/2021 6:40,980.3502,80.4,1384.4169,12839.958,1
1250.389,132.3,1356.4624,13451.428,10/23/2021 6:50,980.3502,80.4,1374.6748,12751.714,1
1250,132.2,1364.2395,13692.541,10/23/2021 7:00,980.3502,80.4,1374.9636,12756.502,1
1248.9299,132.2,1359.8167,13646.75,10/23/2021 7:10,980.107,80.4,1363.1373,12642.6,1
1248.784,132.2,1339.7682,13426.778,10/23/2021 7:20,980.5447,80.4,1381.8688,12817.032,1
1248.8326,132.1,1342.3889,13459.972,10/23/2021 7:30,980.0097,80.4,1373.2582,12745.839,1
1248.9299,131.9,1350.2947,13566.305,10/23/2021 7:40,980.3015,80.4,1386.6053,12856.713,1
1248.8813,132,1346.8196,13507.572,10/23/2021 7:50,980.3015,80.4,1381.6866,12815.343,1
1249.1245,132.1,1356.8556,13613.029,10/23/2021 8:00,980.3502,80.4,1376.9432,12772.052,1
1248.4922,132,1352.1151,13558.391,10/23/2021 8:10,980.3988,80.4,1364.9072,12659.712,1
1248.784,132,1359.7715,13647.203,10/23/2021 8:20,980.3502,80.4,1371.1685,12727.1455,1
1248.4436,131.8,1362.097,13656.878,10/23/2021 8:30,980.6906,80.4,1370.3119,12711.944,1
1247.9572,131.9,1352.8623,13569.873,10/23/2021 8:40,980.7393,80.5,1390.5106,12903.833,1
1248.1031,131.8,1353.8055,13565.159,10/23/2021 8:50,980.5447,80.5,1379.9547,12802.346,1
1247.9086,131.8,1360.8004,13646.988,10/23/2021 9:00,981.0797,80.5,1361.1672,12623.872,1
1247.8113,131.7,1343.037,13465.08,10/23/2021 9:10,982.1985,80.5,1363.7301,12631.63,1
1247.7627,131.7,1364.6667,13679.522,10/23/2021 9:20,982.5389,80.5,1362.04,12600.022,1
1248.9786,132.1,1358.9452,13624.475,10/23/2021 9:30,982.928,80.6,1364.8296,12636.498,1
1250.7782,132.3,1369.4749,13725.2,10/23/2021 9:40,982.8307,80.5,1363.9419,12629.668,1
1252.2374,132.6,1375.1793,13792.911,10/23/2021 9:50,983.4144,80.6,1348.063,12464.805,1
1253.1615,132.7,1368.3977,13723.278,10/23/2021 10:00,984.2413,80.6,1350.7919,12486.607,1
1253.7451,132.8,1377.325,13815.348,10/23/2021 10:10,984.679,80.6,1351.1099,12478.833,1
1253.2101,132.6,1367.4412,13720.142,10/23/2021 10:20,985.9435,80.6,1342.7352,12382.198,1
1255.0098,133,1370.3319,13746.719,10/23/2021 10:30,987.2568,80.7,1361.8077,12549.399,1
1255.0098,132.9,1360.6404,13643.878,10/23/2021 10:40,988.4728,80.6,1339.0902,12314.1455,1
1255.4474,132.9,1371.6,13755.395,10/23/2021 10:50,988.716,80.7,1342.584,12339.798,1
1254.1343,132.5,1347.5762,13527.195,10/23/2021 11:00,990.4183,80.7,1349.4268,12383.737,1
1252.6265,132.2,1334.5781,13384.898,10/23/2021 11:10,991.9747,80.8,1334.0852,12237.215,1
1250.4377,131.8,1317.2618,13206.662,10/23/2021 11:20,992.3151,80.8,1332.1755,12205.717,1
1246.6926,131.1,1297.18,12998.444,10/23/2021 11:30,993.6284,80.7,1331.8613,12181.966,1
1244.0175,130.7,1303.5906,13054.059,10/23/2021 11:40,994.0175,80.8,1331.6329,12173.542,1
1243.3853,130.7,1302.7451,12989.972,10/23/2021 11:50,994.6012,80.7,1345.4161,12288.85,1
1242.7529,130.6,1285.0658,12882.74,10/23/2021 12:00,994.5526,80.8,1322.59,12080.359,1
1241.7316,130.5,1294.5692,12974.387,10/23/2021 12:10,995.6226,80.7,1328.3037,12130.276,1
1241.7316,130.5,1296.0463,12982.232,10/23/2021 12:20,995.2335,80.7,1321.894,12069.774,1
1242.3152,130.8,1305.0851,13071.417,10/23/2021 12:30,994.893,80.7,1330.7748,12156.1455,1
